CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.11%;853MiB / 7.463GiB;11.16%; 2.45GB / 2.76GB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;1.71%;276MiB / 7.463GiB;3.61%;37.2MB / 37.7MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;3.07%;1.076GiB / 7.463GiB;14.41%; 12.1MB / 6.89MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;8.80%;225.5MiB / 7.463GiB;2.95%;5.54MB / 7.05MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.58%;207.8MiB / 7.463GiB;2.72%;1.55MB / 2.43GB;0B / 0B;21
be91543aa019;airflow-db_kap-1;12.55%; 410.9MiB / 7.463GiB;5.38%;2.76GB / 19.6MB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;4.11%;83.4MiB / 7.463GiB; 1.09%;51MB / 55.9MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.20%;13.61MiB / 7.463GiB;0.18%;957kB / 810kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.11%;853MiB / 7.463GiB;11.16%; 2.45GB / 2.76GB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;1.71%;276MiB / 7.463GiB;3.61%;37.2MB / 37.7MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;3.07%;1.076GiB / 7.463GiB;14.41%; 12.1MB / 6.89MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;8.80%;225.5MiB / 7.463GiB;2.95%;5.54MB / 7.05MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.58%;207.8MiB / 7.463GiB;2.72%;1.55MB / 2.43GB;0B / 0B;21
be91543aa019;airflow-db_kap-1;12.55%; 410.9MiB / 7.463GiB;5.38%;2.76GB / 19.6MB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;4.11%;83.4MiB / 7.463GiB; 1.09%;51MB / 55.9MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.20%;13.61MiB / 7.463GiB;0.18%;957kB / 810kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.18%;853MiB / 7.463GiB;11.16%; 2.45GB / 2.76GB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;7.59%;276MiB / 7.463GiB;3.61%;37.2MB / 37.7MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.09%;1.076GiB / 7.463GiB;14.41%; 12.1MB / 6.89MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.86%;225.5MiB / 7.463GiB;2.95%;5.54MB / 7.06MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.16%;207.8MiB / 7.463GiB;2.72%;1.55MB / 2.43GB;0B / 0B;21
be91543aa019;airflow-db_kap-1;3.77%;410.8MiB / 7.463GiB;5.38%;2.76GB / 19.6MB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;1.68%;83.41MiB / 7.463GiB;1.09%;51MB / 55.9MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.14%;13.61MiB / 7.463GiB;0.18%;958kB / 811kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.18%;853MiB / 7.463GiB;11.16%; 2.45GB / 2.76GB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;7.59%;276MiB / 7.463GiB;3.61%;37.2MB / 37.7MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.09%;1.076GiB / 7.463GiB;14.41%; 12.1MB / 6.89MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.86%;225.5MiB / 7.463GiB;2.95%;5.54MB / 7.06MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.16%;207.8MiB / 7.463GiB;2.72%;1.55MB / 2.43GB;0B / 0B;21
be91543aa019;airflow-db_kap-1;3.77%;410.8MiB / 7.463GiB;5.38%;2.76GB / 19.6MB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;1.68%;83.41MiB / 7.463GiB;1.09%;51MB / 55.9MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.14%;13.61MiB / 7.463GiB;0.18%;958kB / 811kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.05%;853MiB / 7.463GiB;11.16%; 2.45GB / 2.76GB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;2.82%;276.1MiB / 7.463GiB;3.61%;37.2MB / 37.7MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.11%;1.076GiB / 7.463GiB;14.41%; 12.1MB / 6.89MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.84%;225.5MiB / 7.463GiB;2.95%;5.55MB / 7.07MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.13%;207.8MiB / 7.463GiB;2.72%;1.55MB / 2.43GB;0B / 0B;21
be91543aa019;airflow-db_kap-1;1.32%;410.9MiB / 7.463GiB;5.38%;2.76GB / 19.6MB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;0.83%;83.41MiB / 7.463GiB;1.09%;51MB / 55.9MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.11%;13.61MiB / 7.463GiB;0.18%;959kB / 811kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.05%;853MiB / 7.463GiB;11.16%; 2.45GB / 2.76GB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;2.82%;276.1MiB / 7.463GiB;3.61%;37.2MB / 37.7MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.11%;1.076GiB / 7.463GiB;14.41%; 12.1MB / 6.89MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.84%;225.5MiB / 7.463GiB;2.95%;5.55MB / 7.07MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.13%;207.8MiB / 7.463GiB;2.72%;1.55MB / 2.43GB;0B / 0B;21
