CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;10.13%;1.402GiB / 7.463GiB;18.79%;134kB / 158kB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;41.17%;251.4MiB / 7.463GiB;3.29%;4.99MB / 5.09MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;9.57%;1.092GiB / 7.463GiB;14.63%;2.13MB / 1.35MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;10.70%;174.2MiB / 7.463GiB;2.28%;840kB / 1.07MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.08%;123.5MiB / 7.463GiB;1.62%;15.1kB / 4.12kB;0B / 0B;21
be91543aa019;airflow-db_kap-1;0.63%;17.38MiB / 7.463GiB;0.23%;1.24kB / 0B;0B / 0B;7
8a393fb6dae8;airflow-postgres-1;3.55%;57.65MiB / 7.463GiB;0.75%;7.85MB / 8.63MB;0B / 0B;22
931cd589197c;airflow-redis-1;0.22%;9.109MiB / 7.463GiB;0.12%;145kB / 120kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;10.13%;1.402GiB / 7.463GiB;18.79%;134kB / 158kB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;41.17%;251.4MiB / 7.463GiB;3.29%;4.99MB / 5.09MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;9.57%;1.092GiB / 7.463GiB;14.63%;2.13MB / 1.35MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;10.70%;174.2MiB / 7.463GiB;2.28%;840kB / 1.07MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.08%;123.5MiB / 7.463GiB;1.62%;15.1kB / 4.12kB;0B / 0B;21
be91543aa019;airflow-db_kap-1;0.63%;17.38MiB / 7.463GiB;0.23%;1.24kB / 0B;0B / 0B;7
8a393fb6dae8;airflow-postgres-1;3.55%;57.65MiB / 7.463GiB;0.75%;7.85MB / 8.63MB;0B / 0B;22
931cd589197c;airflow-redis-1;0.22%;9.109MiB / 7.463GiB;0.12%;145kB / 120kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.21%;1.402GiB / 7.463GiB;18.79%;135kB / 159kB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;1.93%;251.4MiB / 7.463GiB;3.29%;5MB / 5.11MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.18%;1.092GiB / 7.463GiB;14.63%;2.13MB / 1.35MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.93%;174.2MiB / 7.463GiB;2.28%;845kB / 1.08MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.14%;123.5MiB / 7.463GiB;1.62%;15.1kB / 4.12kB;0B / 0B;21
be91543aa019;airflow-db_kap-1;0.00%;17.38MiB / 7.463GiB;0.23%;1.24kB / 0B;0B / 0B;7
8a393fb6dae8;airflow-postgres-1;0.82%;57.64MiB / 7.463GiB;0.75%;7.87MB / 8.65MB;0B / 0B;22
931cd589197c;airflow-redis-1;0.21%;9.113MiB / 7.463GiB;0.12%;146kB / 121kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.21%;1.402GiB / 7.463GiB;18.79%;135kB / 159kB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;1.93%;251.4MiB / 7.463GiB;3.29%;5MB / 5.11MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.18%;1.092GiB / 7.463GiB;14.63%;2.13MB / 1.35MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.93%;174.2MiB / 7.463GiB;2.28%;845kB / 1.08MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.14%;123.5MiB / 7.463GiB;1.62%;15.1kB / 4.12kB;0B / 0B;21
be91543aa019;airflow-db_kap-1;0.00%;17.38MiB / 7.463GiB;0.23%;1.24kB / 0B;0B / 0B;7
8a393fb6dae8;airflow-postgres-1;0.82%;57.64MiB / 7.463GiB;0.75%;7.87MB / 8.65MB;0B / 0B;22
931cd589197c;airflow-redis-1;0.21%;9.113MiB / 7.463GiB;0.12%;146kB / 121kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.05%;1.402GiB / 7.463GiB;18.79%;135kB / 160kB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;1.55%;251.4MiB / 7.463GiB;3.29%;5MB / 5.12MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.11%;1.092GiB / 7.463GiB;14.63%;2.13MB / 1.35MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.82%;174.2MiB / 7.463GiB;2.28%;850kB / 1.08MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.08%;123.5MiB / 7.463GiB;1.62%;15.1kB / 4.12kB;0B / 0B;21
be91543aa019;airflow-db_kap-1;0.00%;17.38MiB / 7.463GiB;0.23%;1.24kB / 0B;0B / 0B;7
8a393fb6dae8;airflow-postgres-1;0.71%;57.65MiB / 7.463GiB;0.75%;7.88MB / 8.66MB;0B / 0B;22
931cd589197c;airflow-redis-1;0.11%;9.109MiB / 7.463GiB;0.12%;146kB / 121kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.05%;1.402GiB / 7.463GiB;18.79%;135kB / 160kB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;1.55%;251.4MiB / 7.463GiB;3.29%;5MB / 5.12MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.11%;1.092GiB / 7.463GiB;14.63%;2.13MB / 1.35MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.82%;174.2MiB / 7.463GiB;2.28%;850kB / 1.08MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.08%;123.5MiB / 7.463GiB;1.62%;15.1kB / 4.12kB;0B / 0B;21
be91543aa019;airflow-db_kap-1;0.00%;17.38MiB / 7.463GiB;0.23%;1.24kB / 0B;0B / 0B;7
8a393fb6dae8;airflow-postgres-1;0.71%;57.65MiB / 7.463GiB;0.75%;7.88MB / 8.66MB;0B / 0B;22
931cd589197c;airflow-redis-1;0.11%;9.109MiB / 7.463GiB;0.12%;146kB / 121kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.17%;1.402GiB / 7.463GiB;18.79%;136kB / 161kB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;1.55%;251.4MiB / 7.463GiB;3.29%;5.01MB / 5.13MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.11%;1.092GiB / 7.463GiB;14.63%;2.13MB / 1.35MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.95%;174.2MiB / 7.463GiB;2.28%;856kB / 1.09MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.12%;123.5MiB / 7.463GiB;1.62%;15.1kB / 4.12kB;0B / 0B;21
be91543aa019;airflow-db_kap-1;2.49%;17.41MiB / 7.463GiB;0.23%;1.24kB / 0B;0B / 0B;7
8a393fb6dae8;airflow-postgres-1;0.75%;57.65MiB / 7.463GiB;0.75%;7.9MB / 8.67MB;0B / 0B;22
931cd589197c;airflow-redis-1;0.12%;9.109MiB / 7.463GiB;0.12%;147kB / 122kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.17%;1.402GiB / 7.463GiB;18.79%;136kB / 161kB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;1.55%;251.4MiB / 7.463GiB;3.29%;5.01MB / 5.13MB;0B / 0B;4
